PAT0004,54123@bjtu.edu.cn,teacher_password1,海明,pati_54123,m,13605430123,PAT
DOC0006,DOC0006@hospital.com,a27ea79364675a7620384b77fc30a26a,刘炳岩,doc_DOC0006,m,13901230006,DOC
DOC0082,fmnlj176@yahoo.com.cn,8Ymw_IFp8RMa6t4,马嘉祺超绝跟腱,doc_DOC0082,m,11451451414,DOC
DOC0007,DOC0007@hospital.com,4b7c089bc6d7422ca2184c2c86f80484,严肃,doc_DOC0007,,13800000007,DOC
DOC0008,DOC0008@hospital.com,aaa2a125e0d67641698142ad7b0e6d59,乔逸,doc_DOC0008,,13800000008,DOC
DOC0009,DOC0009@hospital.com,ed1066b0e7fc892179c16dac720df146,于仲勋,doc_DOC0009,,13800000009,DOC
PAT0002,23301024@bjtu.edu.cn,password2,小郑,pati_23301024,m,13901140514,PAT
PAT0001,23301021@bjtu.edu.cn,password,谢小阳,pati_23301021,m,19910279007,PAT
PAT0003,23121001@bjtu.edu.cn,password3,方小岳,pati_23120001,m,13905140114,PAT
DOC0326,DOC0326@hospital.com,c5d6e95146009f49b2dad4bd28d03db9,陆君阳,doc_DOC0326,,13800000326,DOC
DOC0010,DOC0010@hospital.com,f41ad91f529a0211cfdc36f0d7167b55,于伟泓,doc_DOC0010,,13800000010,DOC
DOC0011,DOC0011@hospital.com,586a0aa83b077fe6decc94b70be1bb56,于健春,doc_DOC0011,,13800000011,DOC
DOC0012,DOC0012@hospital.com,eb62850b0af5d404b51010fdb61b1c2b,于斌,doc_DOC0012,,13800000012,DOC
DOC0013,DOC0013@hospital.com,fbadc369357f853c3d4d5e3ab5c06e78,于洁,doc_DOC0013,,13800000013,DOC
DOC0014,DOC0014@hospital.com,224d4febdbe38c4cbe65528000da6d08,于鹏,doc_DOC0014,,13800000014,DOC
DOC0015,DOC0015@hospital.com,2e1278c2213535f04675757a0275592f,仉建国,doc_DOC0015,,13800000015,DOC
DOC0016,DOC0016@hospital.com,484e4e74a9f947ce84c4bc25b07ee051,任常,doc_DOC0016,,13800000016,DOC
DOC0017,DOC0017@hospital.com,4234f931a53fdaa6f58084b90223944f,何嘉,doc_DOC0017,,13800000017,DOC
DOC0018,DOC0018@hospital.com,b241bacde194786be80bf77f6b76b3f5,何小东,doc_DOC0018,,13800000018,DOC
